"Tipo","Clase","Nombre","Autor","Año","Colección","Estado","Presta","Comunidad","ID","Tel"
"literatura universal","castellano","Boletin cultural y bibliografico","Corporativo","1969","general","Disponible","Name","Comunity","Number","Number"
"literatura universal","castellano","Boletin cultural y bibliografico","Corporativo","1968","general","Disponible","Name","Comunity","Number","Number"
"libro","C. sociales","breviario de colombia","luis angel arango","1997","general","Disponible","Name","Comunity","Number","Number"
"Libro","C. naturales","Brico C. naturales con los niños","corinne dreyfuss","2000","Infantil","Disponible","Name","Comunity","Number","Number"
"Libro","idiomas","bringing up father chop gulp","frank johnson","1988","Infantil","Disponible","Name","Comunity","Number","Number"
"diccionario enciclopedico","castellano","bucc caud","Corporativo","1976","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","castellano","Buenas practicas educativas","Corporativo","2012","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","castellano","Buenas practicas educativas","Corporativo","2012","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","Filosofia","Buscando a Dios 10","Corporativo",NA,"general","Disponible","Name","Comunity","Number","Number"
"Texto guia","Filosofia","Buscando a Dios 11","Corporativo",NA,"general","Disponible","Name","Comunity","Number","Number"
"revista/ coleccionable","agropecuaria","Caja agraria 50 años del campo Colombiano","Corporativo","1981","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","Matematicas","Calculo diferencial e integral","Bernardo Hoyos Varela","1973","general","Disponible","Name","Comunity","Number","Number"
"literatura universal","C. sociales","Calculo economico y formas de propiedad","Charles Bettelheim","1972","general","Disponible","Name","Comunity","Number","Number"
"Libro","Matematicas","calculo mercantil a su alcance","jose nivey orrego d","1978","general","Disponible","Name","Comunity","Number","Number"
"literatura universal","Filosofia","Calendario de resurreccion, el camino hacia la luz","Corporativo",NA,"general","Disponible","Name","Comunity","Number","Number"
"libro","Matematicas","Camino a la universidad: Matematica, Fisica y quimica","Corporativo","2002","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","Matematicas","Camino de la matematica","Corporativo",NA,"general","Disponible","Name","Comunity","Number","Number"
"libro","castellano","campanario de lluvia","maruja vieira","1947","general","Disponible","Name","Comunity","Number","Number"
"literatura universal","castellano","campos de castilla","Antonio Machado","2004","general","Disponible","Name","Comunity","Number","Number"
"literatura universal","castellano","campos de castilla","Antonio Machado","2004","general","Disponible","Name","Comunity","Number","Number"
"literatura universal","castellano","campos de castilla","Antonio Machado","2004","general","Disponible","Name","Comunity","Number","Number"
"revista/ coleccionable","Arte","Candilejas","Corporativo","2014","general","Disponible","Name","Comunity","Number","Number"
"cartilla","castellano","caos en el mercado","no tiene","1995",NA,"Disponible","Name","Comunity","Number","Number"
"Libro","castellano","caos en el mercado","oscar henyer bello cubides","2009","general","Disponible","Name","Comunity","Number","Number"
"libro","castellano","caperucita roja","charles perrault","2009",NA,"Disponible","Name","Comunity","Number","Number"
"libro","castellano","capitanes intrepidos","rudyard kipling","2007","Infantil","Disponible","Name","Comunity","Number","Number"
"literatura universal","castellano","Capitanes intrepidos","Rudyard Kipling","1971","general","Disponible","Name","Comunity","Number","Number"
"libro","castellano","carcel de amor","jorge rojas","1976","general","Disponible","Name","Comunity","Number","Number"
"revista/ coleccionable","C. sociales","Carnaval de Riosucio, conocimiento de una grandiosa tradicion","Junta del carnaval","1993","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","agropecuaria","Cartilla cafetera, sombrio de cafetales","Cenicafe","1994","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","castellano","Cartilla moderna de gramatica","Edelvives","1944","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. sociales","Cartillas regionales de Colombia / atlas de mapas","corporativo",NA,"general","Disponible","Name","Comunity","Number","Number"
"literatura universal","C. sociales","cartillas regionales de colombia 3/ Chocho, Valle, Cauca y Nariño","Corporativo",NA,"general","Disponible","Name","Comunity","Number","Number"
"libro","castellano","casuarino","julia calzadilla","1998","general","Disponible","Name","Comunity","Number","Number"
"diccionario enciclopedico","castellano","cauj coro","Corporativo","1976","general","Disponible","Name","Comunity","Number","Number"
"informe","N/A","Centro de capacitacion Antonio Ricaute/ estudio y diagnostico","ICBF","1978","general","Disponible","Name","Comunity","Number","Number"
"libro","Arte","centro de documentacion y biblioteca","paula nieto plazas","2006","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. naturales","Childcraft","Corporativo","1961","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","Matematicas","Ciclo medio de matematica moderna","Cesar A. Trejos","1969","general","Disponible","Name","Comunity","Number","Number"
"literatura universal","castellano","Cien años de soledad","Gabriel Garcia Marquez","1971","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. naturales","C. C. naturales 1","Corporativo","1975","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. naturales","C. C. naturales 1","Corporativo","1976","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. naturales","C. C. naturales 2","Corporativo","1977","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. naturales","C. C. naturales 3","Corporativo","1978","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. naturales","C. C. naturales activa 1","Corporativo","1976","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. naturales","C. C. naturales activa 1","Corporativo","1976","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. naturales","C. C. naturales activa 1","Corporativo","1976","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. naturales","C. C. naturales activa 1","Corporativo","1976","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. naturales","C. C. naturales activa 1","Corporativo","1976","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. naturales","C. C. naturales activa 1","Corporativo","1976","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. naturales","C. C. naturales activa 3","Corporativo","1976","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. naturales","C. C. naturales activa 5","Corporativo","1976","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. naturales","C. C. naturales en accion 2","Guido A. Moncayo","1981","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","castellano","C. C. naturaless 1, Comprension del medio ambiente","George G. Mallinson","1978","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","castellano","C. C. naturaless 2, Comprension del medio ambiente","George G. Mallinson","1978","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. naturales","C. C. naturaless 2, Comprension del medio ambiente","George G. Mallinson","1979","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. naturales","C. C. naturaless 3","Corporativo","1975","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. naturales","C. C. naturaless 3, Comprension del medio ambiente","George G. Mallinson","1977","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. naturales","C. C. naturaless en accion 2","Guido A. Moncayo","1981","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. naturales","C. C. naturaless en accion 3","Guido A. Moncayo","1981","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. naturales","C. C. naturaless Fisicas y C. naturales 2","Mario Leal","1955","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. naturales","C. C. naturaless C. naturales","Corporativo",NA,"general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. naturales","C. C. naturaless C. naturales","Corporativo",NA,"general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. naturales","C. C. naturaless C. naturales","Corporativo","1979","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. naturales","C. C. naturaless C. naturales","Corporativo",NA,"general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. naturales","C. C. naturaless C. naturales","Corporativo",NA,"general","Disponible","Name","Comunity","Number","Number"
